"day","hour","mean_arrivals","mean_arrivals_per_min"
"Sun",0,7.37662337662338,0.122943722943723
"Sun",1,6.74025974025974,0.112337662337662
"Sun",2,5.1948051948052,0.0865800865800866
"Sun",3,4.49350649350649,0.0748917748917749
"Sun",4,4.35064935064935,0.0725108225108225
"Sun",5,4.37662337662338,0.0729437229437229
"Sun",6,4.12987012987013,0.0688311688311688
"Sun",7,6.53246753246753,0.108874458874459
"Sun",8,12.2597402597403,0.204329004329004
"Sun",9,15.4935064935065,0.258225108225108
"Sun",10,20.3116883116883,0.338528138528139
"Sun",11,20.8571428571429,0.347619047619048
"Sun",12,20.5454545454545,0.342424242424242
"Sun",13,18.9350649350649,0.315584415584416
"Sun",14,19.1168831168831,0.318614718614719
"Sun",15,19.1038961038961,0.318398268398268
"Sun",16,18.4025974025974,0.306709956709957
"Sun",17,17.987012987013,0.29978354978355
"Sun",18,16.4935064935065,0.274891774891775
"Sun",19,16.4805194805195,0.274675324675325
"Sun",20,16.1298701298701,0.268831168831169
"Sun",21,13.3766233766234,0.222943722943723
"Sun",22,11.4545454545455,0.190909090909091
"Sun",23,8.79220779220779,0.146536796536797
"Mon",0,6.71428571428571,0.111904761904762
"Mon",1,5.54545454545454,0.0924242424242424
"Mon",2,4.64935064935065,0.0774891774891775
"Mon",3,3.8961038961039,0.0649350649350649
"Mon",4,3.49350649350649,0.0582251082251082
"Mon",5,3.79220779220779,0.0632034632034632
"Mon",6,4.01298701298701,0.0668831168831169
"Mon",7,7.31168831168831,0.121861471861472
"Mon",8,12.2857142857143,0.204761904761905
"Mon",9,21.8961038961039,0.364935064935065
"Mon",10,25.8051948051948,0.43008658008658
"Mon",11,27.1558441558442,0.452597402597403
"Mon",12,27.1948051948052,0.453246753246753
"Mon",13,24.8831168831169,0.414718614718615
"Mon",14,23.8571428571429,0.397619047619048
"Mon",15,23.2727272727273,0.387878787878788
"Mon",16,24.6103896103896,0.41017316017316
"Mon",17,25.7792207792208,0.42965367965368
"Mon",18,22,0.366666666666667
"Mon",19,21.5064935064935,0.358441558441558
"Mon",20,19.1688311688312,0.31948051948052
"Mon",21,15.1428571428571,0.252380952380952
"Mon",22,11.5454545454545,0.192424242424242
"Mon",23,8.55844155844156,0.142640692640693
"Tue",0,6.67532467532468,0.111255411255411
"Tue",1,5.71428571428571,0.0952380952380952
"Tue",2,4.58441558441558,0.0764069264069264
"Tue",3,3.55844155844156,0.0593073593073593
"Tue",4,3.24675324675325,0.0541125541125541
"Tue",5,3.83116883116883,0.0638528138528139
"Tue",6,4.32467532467532,0.0720779220779221
"Tue",7,6.33766233766234,0.105627705627706
"Tue",8,11.8701298701299,0.197835497835498
"Tue",9,19.9350649350649,0.332251082251082
"Tue",10,23.9350649350649,0.398917748917749
"Tue",11,25.6103896103896,0.426839826839827
"Tue",12,26.0779220779221,0.434632034632035
"Tue",13,22.5454545454545,0.375757575757576
"Tue",14,21.5844155844156,0.35974025974026
"Tue",15,22.2207792207792,0.37034632034632
"Tue",16,22.2467532467532,0.370779220779221
"Tue",17,23.3376623376623,0.388961038961039
"Tue",18,21.2467532467532,0.354112554112554
"Tue",19,20.4935064935065,0.341558441558442
"Tue",20,19.4025974025974,0.323376623376623
"Tue",21,14.5194805194805,0.241991341991342
"Tue",22,10.7142857142857,0.178571428571429
"Tue",23,8.06493506493507,0.134415584415584
"Wed",0,6.55844155844156,0.109307359307359
"Wed",1,5.79220779220779,0.0965367965367965
"Wed",2,4.42857142857143,0.0738095238095238
"Wed",3,3.64935064935065,0.0608225108225108
"Wed",4,3.32467532467532,0.0554112554112554
"Wed",5,3.97402597402597,0.0662337662337662
"Wed",6,3.76623376623377,0.0627705627705628
"Wed",7,5.98701298701299,0.0997835497835498
"Wed",8,11.3376623376623,0.188961038961039
"Wed",9,19.3246753246753,0.322077922077922
"Wed",10,23.1558441558442,0.385930735930736
"Wed",11,24.3376623376623,0.405627705627706
"Wed",12,24.4415584415584,0.407359307359307
"Wed",13,21.9480519480519,0.365800865800866
"Wed",14,21.3506493506494,0.355844155844156
"Wed",15,21.1558441558442,0.352597402597403
"Wed",16,22.2337662337662,0.370562770562771
"Wed",17,22.4935064935065,0.374891774891775
"Wed",18,20.2987012987013,0.338311688311688
"Wed",19,20.2987012987013,0.338311688311688
"Wed",20,17.987012987013,0.29978354978355
"Wed",21,14.0779220779221,0.234632034632035
"Wed",22,10.8571428571429,0.180952380952381
"Wed",23,8.4025974025974,0.14004329004329
"Thu",0,6.36842105263158,0.106140350877193
"Thu",1,5.3421052631579,0.0890350877192982
"Thu",2,4.02631578947368,0.0671052631578947
"Thu",3,3.30263157894737,0.0550438596491228
"Thu",4,3.39473684210526,0.056578947368421
"Thu",5,3.64473684210526,0.0607456140350877
"Thu",6,3.92105263157895,0.0653508771929825
"Thu",7,6.10526315789474,0.101754385964912
"Thu",8,11.0526315789474,0.184210526315789
"Thu",9,20.1184210526316,0.33530701754386
"Thu",10,23,0.383333333333333
"Thu",11,24.6184210526316,0.41030701754386
"Thu",12,24.5526315789474,0.40921052631579
"Thu",13,22.3684210526316,0.37280701754386
"Thu",14,20.9605263157895,0.349342105263158
"Thu",15,21.7763157894737,0.362938596491228
"Thu",16,22.5526315789474,0.375877192982456
"Thu",17,21.4342105263158,0.357236842105263
"Thu",18,20.671052631579,0.344517543859649
"Thu",19,20.3157894736842,0.33859649122807
"Thu",20,17.0526315789474,0.28421052631579
"Thu",21,13.8552631578947,0.230921052631579
"Thu",22,10.7105263157895,0.178508771929825
"Thu",23,7.98684210526316,0.133114035087719
"Fri",0,6.81578947368421,0.11359649122807
"Fri",1,5.81578947368421,0.0969298245614035
"Fri",2,4.36842105263158,0.0728070175438596
"Fri",3,3.97368421052632,0.0662280701754386
"Fri",4,3.68421052631579,0.0614035087719298
"Fri",5,3.73684210526316,0.062280701754386
"Fri",6,3.64473684210526,0.0607456140350877
"Fri",7,6.42105263157895,0.107017543859649
"Fri",8,11.7631578947368,0.196052631578947
"Fri",9,19.3421052631579,0.322368421052632
"Fri",10,23.1578947368421,0.385964912280702
"Fri",11,23.9078947368421,0.398464912280702
"Fri",12,23.6315789473684,0.393859649122807
"Fri",13,22.3552631578947,0.372587719298246
"Fri",14,20.921052631579,0.348684210526316
"Fri",15,21.5526315789474,0.35921052631579
"Fri",16,22.8552631578947,0.380921052631579
"Fri",17,22.5657894736842,0.37609649122807
"Fri",18,19.6052631578947,0.326754385964912
"Fri",19,19.2631578947368,0.321052631578947
"Fri",20,17.3552631578947,0.289254385964912
"Fri",21,14.4342105263158,0.240570175438597
"Fri",22,11.0526315789474,0.184210526315789
"Fri",23,9.05263157894737,0.150877192982456
"Sat",0,7.35064935064935,0.122510822510823
"Sat",1,6.67532467532468,0.111255411255411
"Sat",2,5.05194805194805,0.0841991341991342
"Sat",3,4.11688311688312,0.0686147186147186
"Sat",4,3.90909090909091,0.0651515151515152
"Sat",5,4.36363636363636,0.0727272727272727
"Sat",6,3.66233766233766,0.061038961038961
"Sat",7,6.31168831168831,0.105194805194805
"Sat",8,11.2207792207792,0.187012987012987
"Sat",9,15.6883116883117,0.261471861471861
"Sat",10,19.3376623376623,0.322294372294372
"Sat",11,18.3116883116883,0.305194805194805
"Sat",12,20.2857142857143,0.338095238095238
"Sat",13,19.7922077922078,0.32987012987013
"Sat",14,19.1168831168831,0.318614718614719
"Sat",15,19.1558441558442,0.319264069264069
"Sat",16,18.3116883116883,0.305194805194805
"Sat",17,16.8181818181818,0.28030303030303
"Sat",18,15.2857142857143,0.254761904761905
"Sat",19,15.7922077922078,0.263203463203463
"Sat",20,15.5064935064935,0.258441558441558
"Sat",21,13.6753246753247,0.227922077922078
"Sat",22,11.7012987012987,0.195021645021645
"Sat",23,8.92207792207792,0.148701298701299
